Название,Год,Страна,Режиссер,Рейтинг,Смотреть онлайн
Двойная рокировка,2002,Гонконг,Эндрю Лау,7.7,True
Невинные,1961,Великобритания,Джек Клейтон,7.1,False
Свой человек,1999,США,Майкл Манн,7.6,False
Нетерпимость,1916,США,Дэвид Уорк Гриффит,7.7,False
Вторжение похитителей тел,1955,США,Дон Сигел,7.2,False
Досье Ипкресс,1965,Великобритания,Сидни Дж. Фьюри,7.1,False
Ирма Веп,1996,Франция,Оливье Ассайас,6.6,False
Стальной гигант,1999,США,Брэд Бёрд,8.1,False
Необратимость,2002,Франция,Гаспар Ноэ,7.1,False
Это случилось однажды ночью,1934,США,Фрэнк Капра,7.9,False
Эта замечательная жизнь,1947,США,Фрэнк Капра,8.4,True
Итальянская работа,1969,Великобритания,Питер Коллинсон,7.2,False
Иван Грозный,1944,СССР,Сергей Эйзенштейн,8.1,True
Иван под экстази,2000,Великобритания,Бернард Роуз,5.8,False
Джеки Браун,1997,США,Квентин Тарантино,7.1,False
Жако из Нанта,1991,Франция,Аньес Варда,6.5,False
Япония,2001,Мексика,Карлос Рейгадас,6.8,False
Ясон и аргонавты,1963,Великобритания,Дон Чэффи,7.0,False
Челюсти,1975,США,Стивен Спилберг,7.3,False
Придурок,1979,США,Карл Райнер,6.6,False
Джерри Магуайер,1996,США,Кэмерон Кроу,7.4,False
Взлетная полоса,1962,Франция,Крис Маркер,7.7,False
Джонни-гитара,1954,США,Николас Рэй,7.0,False
День начинается,1939,Франция,Марсель Карне,7.7,False
Юбилей,1978,Великобритания,Дерек Джармен,6.7,False
Жюль и Джим,1962,Франция,Франсуа Трюффо,7.7,False
Книга джунглей,1967,США,Вольфганг Райтерман,7.8,False
Парк Юрского периода,1993,США,Стивен Спилберг,7.8,False
Канал,1956,Польша,Анджей Вайда,7.5,False
Кандагар,2001,Иран,Мохсен Махмальбаф,6.9,False
Парень-каратист,1984,США,Джон Г. Эвилдсен,7.3,False
В руках бога,2004,США,Лодж Х. Керриган,6.0,False
Кес,1969,Великобритания,Кен Лоуч,8.0,False
Детки,1995,США,Ларри Кларк,6.3,False
Забойщик овец,1977,США,Чарльз Бёрнетт,6.3,False
Наёмный убийца,1989,Гонконг,Джон Ву,7.7,False
Убийцы,1946,США,Роберт Сьодмак,7.3,False
Убийство китайского букмекера,1976,США,Джон Кассаветис,7.2,False
Убийство,1956,США,Стэнли Кубрик,7.6,False
Добрые сердца и короны,1949,Великобритания,Роберт Хеймер,7.7,False
Кинг Конг,1933,США,Мериан К. Купер,7.1,True
Король Лир,1970,СССР,Григорий Козинцев,8.1,False
Король комедии,1982,США,Мартин Скорсезе,7.6,False
Король Нью-Йорка,1989,Италия,Абель Феррара,6.8,False
Целуй меня насмерть,1955,США,Роберт Олдрич,6.9,False
Поцелуй женщины-паука,1985,Бразилия,Эктор Бабенко,7.5,False
Клют,1971,США,Алан Дж. Пакула,6.9,False
Нож в воде,1962,Польша,Роман Полански,7.4,False
Кояанискатси,1983,США,Годфри Реджио,8.2,False
Кайдан: Повествование о загадочном и ужасном,1964,Япония,Масаки Кобаяси,7.8,False
Секреты Лос-Анджелеса,1997,США,Кёртис Хэнсон,7.9,False
Кружевница,1977,Швейцария,Клод Горетта,7.6,False
Лакомб Люсьен,1974,Франция,Луи Маль,7.8,False
Леди Ева,1941,США,Престон Стёрджес,7.1,False
Убийцы леди,1955,Великобритания,Александр Маккендрик,7.1,False
Лагаан: Однажды в Индии,2001,Индия,Ашутош Говарикер,6.9,False
"Земля, забытая временем",1974,Великобритания,Кевин Коннор,6.0,False
Лантана,2001,Австралия,Рэй Лоуренс,6.6,False
Жаворонки на нити,1969,Чехословакия,Иржи Менцель,7.1,False
Последние дни,2004,США,Гас Ван Сент,6.6,False
Последнее метро,1980,Франция,Франсуа Трюффо,7.5,False
Последний фильм,1971,США,Деннис Хоппер,6.0,False
Последний киносеанс,1971,США,Питер Богданович,7.9,False
Последнее пристанище,2000,Великобритания,Павел Павликовский,6.2,False
Последнее соблазнение,1994,Великобритания,Джон Дал,6.6,False
Последнее танго в Париже,1972,Италия,Бернардо Бертолуччи,7.4,False
В прошлом году в Мариенбаде,1961,Франция,Ален Рене,7.8,False
Лора,1944,США,Отто Преминджер,7.4,False
Банда с Лавендер Хилл,1951,Великобритания,Чарльз Крайтон,7.3,False
Закон желания,1986,Испания,Педро Альмодовар,7.2,False
Лоуренс Аравийский,1962,Великобритания,Дэвид Лин,8.0,False
Покидая Лас-Вегас,1995,США,Майк Фиггис,7.3,False
Ленинградские ковбои едут в Америку,1989,Финляндия,Аки Каурисмяки,7.1,False
Леон,1994,Франция,Люк Бессон,8.7,True
Леопард,1963,Италия,Лукино Висконти,7.7,False
Сладости жизни,1990,Великобритания,Майк Ли,7.0,False
Лифт на эшафот,1958,Франция,Луи Маль,7.9,False
Чуткий сон,1992,США,Пол Шредер,6.7,False
Огни рампы,1952,США,Чарльз Чаплин,8.1,False
Англичанин,1999,США,Стивен Содерберг,6.2,False
Жидкое небо,1982,США,Слава Цукерман,6.6,False
Маленький Большой Человек,1970,США,Артур Пенн,7.6,False
Маленький Цезарь,1930,США,Мервин ЛеРой,6.7,False
Живая плоть,1997,Испания,Педро Альмодовар,7.5,False
Жизнь других,2006,Германия,Флориан Хенкель фон Доннерсмарк,8.1,False
Местный герой,1983,Великобритания,Билл Форсайт,6.9,False
Жилец,1927,Великобритания,Альфред Хичкок,7.5,False
Бегство Логана,1976,США,Майкл Андерсон,6.6,False
Лола,1961,Франция,Жак Деми,7.0,False
Лолита,1962,Великобритания,Стэнли Кубрик,7.1,False
Лондон,1994,Великобритания,Патрик Кейллер,-1.0,False
Одинокие отважны,1962,США,Дэвид Миллер,6.8,False
Долгая Страстная пятница,1979,Великобритания,Джон Маккензи,7.3,False
Долгое прощание,1973,США,Роберт Олтмен,7.1,False
Властелин колец: Братство кольца,2001,Новая Зеландия,Питер Джексон,8.6,False
Затерянные в Ла-Манче,2002,Великобритания,Кит Фултон,7.2,False
Трудности перевода,2003,США,София Коппола,7.2,False
Затерянный мир,1925,США,Гарри О. Хойт,7.0,False
Лулу,1980,Франция,Морис Пиала,6.6,False
Любовь – это дьявол,1998,Великобритания,Джон Мэйбери,6.2,False
Любовники,1958,Франция,Луи Маль,7.2,False
М убийца,1931,Германия,Фриц Ланг,7.9,False
Каникулы господина Юло,1953,Франция,Жак Тати,7.1,False
Безумный Макс,1979,Австралия,Джордж Миллер,6.9,False
Сделано в Британии,1983,Великобритания,Алан Кларк,6.7,False
Великолепная семерка,1960,США,Джон Стёрджес,7.7,False
Магнолия,1999,США,Пол Томас Андерсон,7.4,False
Тусовщики из супермаркета,1995,США,Кевин Смит,7.1,False
Мальтийский сокол,1941,США,Джон Хьюстон,7.7,True
Мама Рома,1962,Италия,Пьер Паоло Пазолини,8.0,False
Человек кусает собаку,1992,Бельгия,Реми Бельво,7.2,False
"Человек, который застрелил Либерти Вэланса",1962,США,Джон Форд,7.5,False
"Человек, который хотел быть королем",1975,Великобритания,Джон Хьюстон,7.8,False
Человек с киноаппаратом,1929,СССР,Дзига Вертов,8.5,False
Человек с золотой рукой,1955,США,Отто Преминджер,7.3,False
Мозги набекрень,1983,США,Карл Райнер,6.4,False
Маньчжурский кандидат,1962,США,Джон Франкенхаймер,7.0,False
Марат/Сад,1967,Великобритания,Питер Брук,7.5,False
Марафонец,1976,США,Джон Шлезингер,7.1,False
Замужество Марии Браун,1979,Германия (ФРГ),Райнер Вернер Фассбиндер,7.6,False
Военно-полевой госпиталь,1969,США,Роберт Олтмен,7.3,False
Маска Сатаны,1960,Италия,Марио Бава,6.8,False
Мэтуон,1987,США,Джон Сейлз,7.2,False
Матрица,1999,США,Лана Вачовски,8.5,False
Лестница в небо,1946,Великобритания,Майкл Пауэлл,7.1,False
МакКейб и миссис Миллер,1971,США,Роберт Олтмен,7.3,False
"Я и ты и все, кого мы знаем",2005,США,Миранда Джулай,6.7,False
С тобой и без тебя,2001,Великобритания,Сандра Голдбахер,7.3,False
Дрянные девчонки,2004,США,Марк Уотерс,7.0,False
Злые улицы,1973,США,Мартин Скорсезе,7.1,False
Встреть меня в Сент-Луисе,1944,США,Винсент Миннелли,7.1,True
Знакомство с родителями,2000,США,Джей Роуч,7.5,False
Мементо,2000,США,Кристофер Нолан,7.9,True
Воспоминания об убийстве,2003,Корея Южная,Пон Джун-хо,7.6,True
Воспоминания об отсталости,1968,Куба,Томас Гутьеррес Алеа,7.0,False
Люди в чёрном,1997,США,Барри Зонненфельд,8.0,False
Мефисто,1981,Венгрия,Иштван Сабо,7.8,False
Презрение,1963,Франция,Жан-Люк Годар,7.4,False
Метрополис,1927,Германия,Фриц Ланг,8.1,False
Золотая молодежь,1989,США,Уит Стиллман,7.2,False
Микрокосмос,1996,Франция,Клод Нуридзани,8.1,False
Полуночный ковбой,1969,США,Джон Шлезингер,7.7,False
Успеть до полуночи,1988,США,Мартин Брест,7.7,False
Мики и Ники,1976,США,Элейн Мей,6.9,False
Милдред Пирс,1945,США,Майкл Кёртиц,7.6,False
Перекресток Миллера,1990,США,Джоэл Коэн,7.6,False
Малышка на миллион,2004,США,Клинт Иствуд,8.1,True
Зеркало,1974,СССР,Андрей Тарковский,8.1,True
Неприкаянные,1961,США,Джон Хьюстон,7.1,False
Новые времена,1936,США,Чарльз Чаплин,8.1,True
Мой дядюшка,1958,Франция,Жак Тати,7.3,False
Мсье Ир,1989,Франция,Патрис Леконт,7.7,False
Свадьба в сезон дождей,2001,Индия,Мира Наир,6.7,False
Монти Пайтон и Священный Грааль,1975,Великобритания,Терри Гиллиам,7.8,False
Житие Брайана по Монти Пайтон,1979,Великобритания,Терри Джонс,7.8,False
Убежище,2003,Сенегал,Усман Сембен,6.9,False
Морверн Каллар,2002,Великобритания,Линн Рэмси,6.0,False
Мамочка и шлюха,1973,Франция,Жан Эсташ,8.0,False
Великий Могол,1960,Индия,К. Азиф,6.7,False
Малхолланд Драйв,2001,США,Дэвид Линч,7.7,False
Свадьба Мюриэл,1994,Австралия,П.Дж. Хоган,7.1,False
Мой архитектор,2003,США,Натаниель Кан,7.0,False
Моя прекрасная прачечная,1985,Великобритания,Стивен Фрирз,6.0,False
Моя блестящая карьера,1979,Австралия,Джиллиан Армстронг,6.7,False
Мое детство,1972,Великобритания,Билл Дуглас,6.8,False
Моя дорогая Клементина,1946,США,Джон Форд,7.1,False
Мой ужин с Андре,1981,США,Луи Маль,7.1,False
Моя прекрасная леди,1964,США,Джордж Кьюкор,8.0,False
Моя левая нога,1989,Ирландия,Джим Шеридан,7.9,False
Моя собачья жизнь,1985,Швеция,Лассе Халльстрём,7.5,False
Ночь у Мод,1969,Франция,Эрик Ромер,7.8,False
Мое лето любви,2004,Великобритания,Павел Павликовский,6.2,False
Обнаженная,1993,Великобритания,Майк Ли,7.7,False
Голый пистолет,1988,США,Дэвид Цукер,7.4,False
Няня,1965,Великобритания,Сет Холт,7.2,False
Нанук с Севера,1922,Франция,Роберт Дж. Флаэрти,7.8,False
Наполеон,1927,Франция,Абель Ганс,7.4,False
Нэшвилл,1975,США,Роберт Олтмен,6.9,False
Почти стемнело,1987,США,Кэтрин Бигелоу,6.6,False
Ночь и город,1950,Великобритания,Жюль Дассен,7.6,False
Вечер в опере,1935,США,Сэм Вуд,7.0,False
Ночь охотника,1955,США,Чарльз Лотон,7.2,False
Ночь живых мертвецов,1968,США,Джордж А. Ромеро,7.2,False
Аллея кошмаров,1947,США,Эдмунд Гулдинг,7.1,False
Кошмар на улице Вязов,1984,США,Уэс Крэйвен,7.7,False
Ночи Кабирии,1957,Италия,Федерико Феллини,8.0,False
Никита,1990,Франция,Люк Бессон,7.2,True
Не глотать,1997,Великобритания,Гари Олдман,6.8,False
Ниночка,1939,США,Эрнст Любич,7.7,True
Девятая конфигурация,1980,США,Уильям Питер Блэтти,6.0,False
Север,1983,Великобритания,Грегори Нава,6.2,False
На север через северо-запад,1959,США,Альфред Хичкок,7.8,False
"Носферату, симфония ужаса",1922,Германия,Фридрих Вильгельм Мурнау,7.6,False
Дурная слава,1946,США,Альфред Хичкок,7.4,False
"Вперед, путешественник",1942,США,Ирвинг Раппер,7.5,False
Нигде в Африке,2001,Германия,Каролина Линк,7.2,False
Одиннадцать друзей Оушена,2001,США,Стивен Содерберг,8.1,False
Выбывший из игры,1947,Великобритания,Кэрол Рид,7.3,False
Про уродов и людей,1998,Россия,Алексей Балабанов,7.1,True
Офисное пространство,1999,США,Майк Джадж,6.8,False
Олдбой,2003,Корея Южная,Пак Чхан-ук,8.1,True
Оливер Твист,1948,Великобритания,Дэвид Лин,7.6,False
Забытые,1950,Мексика,Луис Бунюэль,7.7,False
Олимпия,1938,Германия,Лени Рифеншталь,8.0,False
Омен,1976,Великобритания,Ричард Доннер,7.6,False
Увольнение в город,1949,США,Стэнли Донен,7.2,False
В порту,1954,США,Элиа Казан,7.7,False
Однажды в Америке,1983,Италия,Серджио Леоне,8.3,False
Однажды в Китае,1991,Гонконг,Цуй Харк,7.2,True
Однажды на Диком Западе,1968,Италия,Серджио Леоне,8.0,False
Одноглазые валеты,1961,США,Марлон Брандо,6.6,False
Один неверный ход,1991,США,Карл Франклин,6.3,False
Пролетая над гнездом кукушки,1975,США,Милош Форман,8.5,False
Миллион лет до нашей эры,1966,Великобритания,Дон Чэффи,6.7,False
Пропавший динозавр,1975,Великобритания,Роберт Стивенсон,5.6,False
Женщина-демон,1964,Япония,Канэто Синдо,7.6,False
Орландо,1992,Великобритания,Салли Поттер,7.2,False
Орфей,1950,Франция,Жан Кокто,8.0,False
Усама,2003,Афганистан,Сиддик Бармак,6.8,False
Другие,2001,Испания,Алехандро Аменабар,7.9,False
Вне поля зрения,1998,США,Стивен Содерберг,6.9,False
Из прошлого,1947,США,Жак Турнёр,7.3,False
Джоси Уэйлс – человек вне закона,1976,США,Клинт Иствуд,7.2,False
Изгои,1983,США,Фрэнсис Форд Коппола,7.2,False
Ящик Пандоры,1929,Германия,Георг Вильгельм Пабст,7.6,False
Лабиринт Фавна,2006,Мексика,Гильермо дель Торо,7.6,False
Заговор «Параллакс»,1974,США,Алан Дж. Пакула,6.7,False
Родители,1988,Канада,Боб Балабан,5.8,False
"Париж, Техас",1984,Германия (ФРГ),Вим Вендерс,7.9,False
Страсти Жанны д'Арк,1928,Франция,Карл Теодор Дрейер,8.0,False
Пэт Гэрретт и Билли Кид,1973,США,Сэм Пекинпа,7.5,False
Песнь дороги,1955,Индия,Сатьяджит Рай,7.7,False
Подглядывающий,1960,Великобритания,Майкл Пауэлл,7.2,False
Люди в воскресенье,1930,Германия,Роберт Сьодмак,7.5,False
Пепе ле Моко,1936,Франция,Жюльен Дювивье,7.2,False
Представление,1970,Великобритания,Дональд Кэммелл,6.8,False
Маленькая воровка,1988,Франция,Клод Миллер,7.0,False
Филадельфийская история,1940,США,Джордж Кьюкор,7.6,True
Пи,1997,США,Даррен Аронофски,7.5,False
Пианистка,2001,Франция,Михаэль Ханеке,7.2,False
Пианино,1992,Австралия,Джейн Кэмпион,7.8,False
Пиккадилли,1929,Великобритания,Эвальд Андре Дюпон,6.4,False
Карманник,1959,Франция,Робер Брессон,7.5,False
Пикник у Висячей скалы,1975,Австралия,Питер Уир,7.5,False
Розовые фламинго,1972,США,Джон Уотерс,5.7,False
Стена,1982,Великобритания,Алан Паркер,8.1,False
Розовая пантера,1963,США,Блейк Эдвардс,7.0,False
Пираты Карибского моря: Проклятие Черной жемчужины,2003,США,Гор Вербински,8.4,False
Пишоте: Закон самого слабого,1980,Бразилия,Эктор Бабенко,7.2,False
Планета обезьян,1967,США,Франклин Дж. Шаффнер,7.7,False
Взвод,1986,США,Оливер Стоун,8.0,False
"Сыграй это еще раз, Сэм!",1972,США,Херберт Росс,7.7,False
Игрок,1992,США,Роберт Олтмен,7.0,False
Время развлечений,1967,Франция,Жак Тати,7.1,False
На ярком солнце,1960,Франция,Рене Клеман,7.8,False
В упор,1967,США,Джон Бурмен,7.0,False
На гребне волны,1991,Япония,Кэтрин Бигелоу,7.9,True
Полицейская история,1985,Гонконг,Джеки Чан,7.8,True
Полтергейст,1982,США,Тоуб Хупер,7.0,False
Почтальон всегда звонит дважды,1946,США,Тэй Гарнетт,7.3,False
Хищник,1987,США,Джон Мактирнан,7.9,False
Милашка в розовом,1986,США,Ховард Дойч,7.0,False
Расцвет мисс Джин Броди,1968,Великобритания,Рональд Ним,7.6,False
Принцесса-невеста,1987,США,Роб Райнер,7.2,False
Продюсеры,1968,США,Мэл Брукс,7.3,False
Психо,1960,США,Альфред Хичкок,8.1,False
Птанг. Янг. Киппербанг.,1982,Великобритания,Майкл Аптед,-1.0,False
Враг общества,1931,США,Уильям А. Уэллмен,7.3,False
Криминальное чтиво,1994,США,Квентин Тарантино,8.7,False
Качая железо,1976,США,Джордж Батлер,7.9,False
Пурпурный дождь,1984,США,Альберт Магноли,6.6,False
Квадрофения,1979,Великобритания,Фрэнк Роддэм,7.5,False
Телевикторина,1994,США,Роберт Редфорд,7.2,False
Радио в эфире,1979,Великобритания,Кристофер Петит,6.0,False
Бешеный бык,1980,США,Мартин Скорсезе,7.8,False
Индиана Джонс: В поисках утраченного ковчега,1981,США,Стивен Спилберг,8.0,False
Ран,1985,Япония,Акира Куросава,7.9,False
Пресловутое ранчо,1952,США,Фриц Ланг,6.5,False
Расёмон,1950,Япония,Акира Куросава,7.9,True
Реаниматор,1985,США,Стюарт Гордон,7.0,False
Окно во двор,1954,США,Альфред Хичкок,8.0,False
Ребекка,1940,США,Альфред Хичкок,7.9,True
Бунтарь без причины,1955,США,Николас Рэй,7.6,False
Придорожное заведение,1992,США,Джон Дал,7.1,False
Красный гаолян,1988,Китай,Чжан Имоу,7.3,False
Покаяние,1984,СССР,Тенгиз Абуладзе,8.0,False
Конфискатор,1984,США,Алекс Кокс,6.4,False
Реквием по мечте,2000,США,Даррен Аронофски,8.0,False
Бешеные псы,1991,США,Квентин Тарантино,8.1,False
Возвращение Мартина Герра,1982,Франция,Даниэль Винь,7.4,False
Скачи по высокогорью,1962,США,Сэм Пекинпа,6.9,False
Отбросы общества,1991,Великобритания,Кен Лоуч,6.7,False
Мужские разборки,1955,Франция,Жюль Дассен,7.8,False
Парни что надо,1983,США,Филип Кауфман,6.9,False
Звонок,1998,Япония,Хидэо Наката,7.0,True
Рио Браво,1958,США,Ховард Хоукс,7.5,False
Рискованный бизнес,1983,США,Пол Брикман,7.0,False
"Рита, Сью и Боб тоже",1987,Великобритания,Алан Кларк,-1.0,False
На берегу реки,1986,США,Тим Хантер,6.7,False
Роберто Зукко,2001,Франция,Седрик Кан,6.0,False
Робокоп,1987,США,Пол Верховен,7.7,False
Высшая школа рок-н-ролла,1979,США,Аллан Аркуш,6.7,False
Роджер и я,1989,США,Майкл Мур,7.3,False
Роллербол,1975,Великобритания,Норман Джуисон,6.0,False
Римские каникулы,1953,США,Уильям Уайлер,8.3,True
"Рим, открытый город",1945,Италия,Роберто Росселлини,7.8,False
Путь в высшее общество,1958,Великобритания,Джек Клейтон,7.6,False
Комната с видом,1985,Великобритания,Джеймс Айвори,7.1,False
Ребенок Розмари,1968,США,Роман Полански,7.7,False
Руд Бой,1980,Великобритания,Джек Хазан,5.8,False
Правила игры,1939,Франция,Жан Ренуар,7.5,False
Бойцовая рыбка,1983,США,Фрэнсис Форд Коппола,7.7,False
Бегун,1984,Иран,Амир Надери,6.9,False
На холостом ходу,1988,США,Сидни Люмет,7.6,False
Академия Рашмор,1998,США,Уэс Андерсон,7.5,False
Сабрина,1954,США,Билли Уайлдер,8.0,False
Спасение,1995,США,Тодд Хейнс,6.7,False
"Салам, Бомбей",1988,Индия,Мира Наир,6.9,False
"Сало, или 120 дней Содома",1975,Италия,Пьер Паоло Пазолини,5.4,False
Самурай,1967,Франция,Жан-Пьер Мельвиль,7.8,True
Без солнца,1982,Франция,Крис Маркер,7.4,False
Управляющий Сансё,1954,Япония,Кэндзи Мидзогути,8.2,False
"В субботу вечером, в воскресенье утром",1960,Великобритания,Карел Рейш,7.3,False
Лихорадка субботнего вечера,1977,США,Джон Бэдэм,7.2,False
Дикие ночи,1992,Франция,Сирил Коллар,6.3,False
Спасти рядового Райана,1998,США,Стивен Спилберг,8.2,False
Лицо со шрамом,1983,США,Брайан Де Пальма,8.2,False
Аромат зеленой папайи,1992,Франция,Чан Ань Хунг,7.1,False
Наука сна,2006,Франция,Мишель Гондри,7.2,False
Восход Скорпиона,1963,США,Кеннет Энгер,6.4,False
Охрана,1993,Италия,Рикки Тоньяцци,5.6,False
Крик,1996,США,Уэс Крэйвен,7.3,False
Искатели,1956,США,Джон Форд,7.2,False
Никому не известный герой,1996,Франция,Жак Одиар,6.6,False
Мамочка-маньячка-убийца,1994,США,Джон Уотерс,6.8,False
Слуга,1963,Великобритания,Джозеф Лоузи,7.8,False
Подстава,1949,США,Роберт Уайз,7.2,False
Семь,1995,США,Дэвид Финчер,8.3,False
Семь самураев,1954,Япония,Акира Куросава,8.2,True
Седьмая печать,1957,Швеция,Ингмар Бергман,8.0,True
"Секс, ложь и видео",1989,США,Стивен Содерберг,7.5,False
Сексуальная тварь,2000,Великобритания,Джонатан Глейзер,6.7,False
Тени,1958,США,Джон Кассаветис,7.5,False
Шафт,1971,США,Гордон Паркс,6.5,False
Шейн,1953,США,Джордж Стивенс,6.5,False
Зомби по имени Шон,2004,Великобритания,Эдгар Райт,7.3,False
Побег из Шоушенка,1994,США,Фрэнк Дарабонт,9.1,False
Ей это нужно позарез,1986,США,Спайк Ли,6.4,False
Сияние,1980,США,Стэнли Кубрик,7.8,False
Шоа,1985,Франция,Клод Ланзманн,8.2,False
Шоковый коридор,1963,США,Сэмюэл Фуллер,7.4,False
Месть и закон,1975,Индия,Рамеш Сиппи,7.8,True
Стреляйте в пианиста,1960,Франция,Франсуа Трюффо,7.5,False
Короткий монтаж,1993,США,Роберт Олтмен,7.3,False
Короткий фильм об убийстве,1987,Польша,Кшиштоф Кесьлёвский,7.7,False
Шрэк,2001,США,Эндрю Адамсон,8.2,False
На обочине,2004,США,Александр Пэйн,7.0,False
Молчание ягнят,1990,США,Джонатан Демме,8.3,False
Молчаливое бегство,1972,США,Дуглас Трамбалл,6.3,False
Силквуд,1983,США,Майк Николс,7.0,False
Поющие под дождем,1951,США,Стэнли Донен,8.0,True
Сэр Генри с Равилсон Энд,1980,Великобритания,Стив Робертс,-1.0,False
Шестое чувство,1999,США,М. Найт Шьямалан,8.2,False
Бездельник,1990,США,Ричард Линклейтер,7.3,False
Сонная Лощина,1999,США,Тим Бёртон,7.9,False
Игра на вылет,1972,Великобритания,Джозеф Лео Манкевич,7.9,False
Трущобы Беверли Хиллз,1998,США,Тамара Дженкинс,6.4,False
Маленькие личики,1996,Великобритания,Гиллис МакКиннон,6.1,False
Маленький мир Сэмми Ли,1963,Великобритания,Кен Хьюз,-1.0,False
Улыбки летней ночи,1955,Швеция,Ингмар Бергман,7.6,False
Белоснежка и семь гномов,1937,США,Уильям Коттрелл,7.9,True
Солярис,1972,СССР,Андрей Тарковский,8.0,True
В джазе только девушки,1959,США,Билли Уайлдер,8.4,False
Сонатина,1993,Япония,Такеши Китано,7.6,False
Песни со второго этажа,2000,Швеция,Рой Андерссон,7.1,False
Сыновья и любовники,1960,Великобритания,Джек Кардифф,5.8,False
Комната сына,2001,Италия,Нанни Моретти,6.6,False
Печаль и жалость,1969,Швейцария,Марсель Офюльс,6.8,False
Юг,1919,Австралия,Фрэнк Хёрли,6.2,False
"Южный Парк: Большой, длинный, необрезанный",1999,США,Трей Паркер,7.7,False
Я – Куба,1964,Куба,Михаил Калатозов,8.0,False
Зеленый сойлент,1973,США,Ричард Флейшер,6.6,False
Раскрепощение,1994,США,Дэвид О. Расселл,6.2,False
Спартак,1960,США,Стэнли Кубрик,7.8,False
Скорость,1994,США,Ян де Бонт,7.8,False
Человек-паук,2002,США,Сэм Рэйми,7.8,False
Винтовая лестница,1946,США,Роберт Сьодмак,7.0,False
Дух улья,1973,Испания,Виктор Эрисе,7.8,False
Унесённые призраками,2001,Япония,Хаяо Миядзаки,8.5,False
"Весна, лето, осень, зима... и снова весна",2003,Корея Южная,Ким Ки Дук,7.9,True
"Шпион, который меня любил",1977,Великобритания,Льюис Гилберт,7.1,False
Огни святого Эльма,1985,США,Джоэл Шумахер,7.0,False
Останься со мной,1986,США,Роб Райнер,7.8,False
Звёздные войны: Эпизод 4 – Новая надежда,1977,США,Джордж Лукас,8.1,False
Звездный десант,1997,США,Пол Верховен,7.6,False
Пароходный Билл,1928,США,Чарльз Райснер,7.7,False
Афера,1973,США,Джордж Рой Хилл,8.1,False
Дорога,1954,Италия,Федерико Феллини,8.0,False
"Более странно, чем в раю",1984,США,Джим Джармуш,7.6,True
Незнакомцы в поезде,1951,США,Альфред Хичкок,7.7,True
Соломенные псы,1971,Великобритания,Сэм Пекинпа,7.7,False
Трамвай «Желание»,1951,США,Элиа Казан,7.9,True
Танцы без правил,1992,Австралия,Баз Лурман,7.6,False
Странствия Салливана,1941,США,Престон Стёрджес,7.5,False
Восход солнца,1927,США,Фридрих Вильгельм Мурнау,7.9,False
Сансет бульвар,1950,США,Билли Уайлдер,8.0,True
Суперфлай,1972,США,Гордон Паркс мл.,6.1,False
Супермен,1978,США,Ричард Доннер,7.0,False
Абсолютно точно,1985,США,Роб Райнер,7.1,False
Суспирия,1977,Италия,Дарио Ардженто,7.0,False
Швы,1993,США,Скотт Макгихи,5.9,False
Славное будущее,1997,Канада,Атом Эгоян,7.0,False
Сладкий запах успеха,1957,США,Александр Маккендрик,7.4,False
Свит Свитбэк: Песня мерзавца,1971,США,Мелвин Ван Пиблз,5.3,False
Пловец,1968,США,Фрэнк Перри,7.3,False
Тусовщики,1996,США,Даг Лайман,6.6,False
Захват поезда Пелэм 1-2-3,1974,США,Джозеф Сарджент,7.6,False
Роман о лисе,1937,Франция,Ирен Старевич,8.0,False
Талантливый мистер Рипли,1999,США,Энтони Мингелла,7.7,False
Одуванчик,1985,Япония,Дзюдзо Итами,7.3,False
Вкус вишни,1997,Иран,Аббас Киаростами,7.4,False
Таксист,1976,США,Мартин Скорсезе,7.8,False
Отряд «Америка»: Всемирная полиция,2004,США,Трей Паркер,6.2,False
Слезы черного тигра,2000,Таиланд,Висит Сасанатьенг,6.1,False
10 причин моей ненависти,1999,США,Джил Джангер,7.8,False
Терминатор,1984,США,Джеймс Кэмерон,8.0,False
Терминатор 2: Судный день,1991,США,Джеймс Кэмерон,8.4,True
"Тэцуо, железный человек",1989,Япония,Синъя Цукамото,6.9,False
Техасская резня бензопилой,1974,США,Тоуб Хупер,6.7,True
Тельма и Луиза,1991,США,Ридли Скотт,7.7,False
Все без ума от Мэри,1998,США,Бобби Фаррелли,6.7,False
Проклятые,1962,Великобритания,Джозеф Лоузи,6.0,False
Они живут по ночам,1948,США,Николас Рэй,7.2,False
Багдадский вор,1940,Великобритания,Людвиг Бергер,7.3,False
Границы дозволенного,1988,США,Эррол Моррис,7.6,True
Нечто,1951,США,Кристиан Найби,6.5,False
Облик грядущего,1936,Великобритания,Уильям Кэмерон Мензиес,6.6,False
Третий человек,1949,Великобритания,Кэрол Рид,7.6,True
39 ступеней,1935,Великобритания,Альфред Хичкок,7.4,False
Тридцать две истории о Гленне Гульде,1993,Канада,Франсуа Жирар,6.7,False
Это – Spinal Tap,1984,США,Роб Райнер,6.9,False
Такова спортивная жизнь,1963,Великобритания,Линдсей Андерсон,7.3,False
Афера Томаса Крауна,1968,США,Норман Джуисон,7.3,False
Воздушные приключения,1965,Великобритания,Кен Эннакин,7.7,False
Три цвета: Синий,1993,Франция,Кшиштоф Кесьлёвский,7.7,False
Три короля,1999,США,Дэвид О. Расселл,7.1,False
